Niveau 1,Niveau 2,Niveau 3,Niveau 4
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction des Affaires juridiques et consulaires
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,"Direction du Protocole, des Conférences internationales et de la Traduction"
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction des Sénégalais de l’Extérieur
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Directions ,,Direction de l’Administration générale et de l’Equipement
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Autres administrations ,,Délégation générale au Pèlerinage aux Lieux Saints de l’Islam
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Autres administrations ,,Centre national d’Action anti-mines
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Autres administrations ,,Fonds d’Appui à l’Investissement des Sénégalais de l’Extérieur
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Autres administrations ,,Bureau de Coordination du Comité Permanent de l’OCI pour l’information et les
"MINISTÈRE DE L’INTÉGRATION AFRICAINE, DES AFFAIRES ÉTRANGÈRES ET",Autres administrations ,,Affaires Culturelles
MINISTÈRE DES FORCES ARMÉES,Cabinet civil et services rattachés ,,Inspection interne
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Bureau de Liaison et du Courrier
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Bureau de Sécurité du Building administratif
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Bureau de l’Action sociale des Forces armées
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Cellule des Affaires juridiques
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Cellule des statistiques et données
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Cellule de passation des Marchés publics
MINISTÈRE DES FORCES ARMÉES,Cabinet militaire et Services rattachés ,,Cellule de Coordination du Contrôle de Gestion
MINISTÈRE DES FORCES ARMÉES,Services propres ,Etat-Major général des Armées,Haut-Commandement de la Gendarmerie nationale
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction de la Justice militaire
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction du Contrôle des Etudes et de la Législation
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction des Personnels militaires et de la Mobilisation
MINISTÈRE DES FORCES ARMÉES,Directions ,,"Direction des Affaires administratives, de l’Equipement et du Budget"
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction des Archives et du Patrimoine historique
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction du Génie et de l’Infrastructure des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction du Service du Matériel des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction des Transmissions et de l’Informatique des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction du Service de l’Intendance des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction du Service de Santé des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction de la Prévention et de la Sécurité des Armées
MINISTÈRE DES FORCES ARMÉES,Directions ,,Direction de l’Action sociale des Armées
